City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Te Anau,NZ,2021-02-03 20:03:40,-45.4167,167.7167,48.25,80,68,2.39
59,Puerto Ayora,EC,2021-02-03 20:03:40,-0.7393,-90.3518,86.0,66,0,21.85
60,Wexford,IE,2021-02-03 20:03:40,52.3342,-6.4575,48.0,98,100,5.99
61,Feni,BD,2021-02-03 20:03:40,23.0186,91.41,58.26,59,0,4.09
62,Katsuura,JP,2021-02-03 20:03:41,35.1333,140.3,39.2,65,40,11.5
63,Ginir,ET,2021-02-03 20:03:41,7.1333,40.7,58.41,33,0,2.8
64,Bere,TD,2021-02-03 20:03:42,9.3202,16.1552,82.31,15,0,7.45
65,Pontianak,ID,2021-02-03 20:03:42,-0.0333,109.3333,75.2,100,90,3.44
66,Olinda,BR,2021-02-03 20:03:42,-8.0089,-34.8553,82.4,61,40,8.05
67,Port Alfred,ZA,2021-02-03 20:03:18,-33.5906,26.891,69.01,92,1,1.01
68,Urubicha,BO,2021-02-03 20:03:42,-15.3833,-62.95,92.62,45,90,1.12
69,Rockland,US,2021-02-03 19:59:06,41.1668,-74.0496,37.0,66,100,9.35
70,Boende,CD,2021-02-03 20:03:42,-0.2167,20.8667,79.41,67,97,3.11
71,Porto Novo,BJ,2021-02-03 20:03:42,6.4965,2.6036,86.0,79,20,11.5
72,Pisco,PE,2021-02-03 20:03:42,-13.7,-76.2167,77.0,69,0,5.75
73,Cape Town,ZA,2021-02-03 20:03:43,-33.9258,18.4232,71.01,77,20,17.27
74,Banda Aceh,ID,2021-02-03 20:03:43,5.5577,95.3222,77.94,80,62,13.22
75,Castro,BR,2021-02-03 20:03:43,-24.7911,-50.0119,80.85,70,12,4.05
76,Umm Lajj,SA,2021-02-03 20:03:43,25.0213,37.2685,77.54,67,71,10.65
77,Eureka,US,2021-02-03 20:03:43,40.8021,-124.1637,51.01,65,69,7.0
78,Yellowknife,CA,2021-02-03 20:00:06,62.456,-114.3525,-15.0,76,90,5.75
79,Saint Anthony,US,2021-02-03 20:03:43,45.0205,-93.218,35.6,64,1,16.11
80,Mouzouras,GR,2021-02-03 20:03:43,35.5333,24.15,51.8,100,20,2.19
81,Kahului,US,2021-02-03 20:03:43,20.8947,-156.47,77.0,61,40,28.77
