City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Karratha,AU,79.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
362,San Jeronimito,MX,78.8,clear sky,17.55,-101.3333,Quinta Mamá Pía
367,Sibolga,ID,78.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Palimbang,PH,79.52,overcast clouds,6.2106,124.1894,Felmar Beach resort
376,Black River,JM,84.2,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
377,Emerald,AU,80.6,light rain,-23.5333,148.1667,The Irish Village
381,Rocha,UY,81.61,clear sky,-34.4833,-54.3333,Beleza Pura B&B
382,Sampit,ID,75.9,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
383,Daru,PG,79.12,broken clouds,-9.0763,143.2092,Daru Lodge
391,Gorontalo,ID,75.06,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
394,Vallenar,CL,82.33,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
395,Rosita,NI,84.11,few clouds,13.9268,-84.4032,Hospedaje Osejo
397,Sola,VU,81.48,few clouds,-13.8833,167.55,Leumerus Bungalows
402,Alto Araguaia,BR,80.17,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
414,Saint-Joseph,RE,82.4,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
416,Axim,GH,83.52,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
427,Springbok,ZA,78.35,clear sky,-29.6643,17.8865,Undulata Country Lodge
430,Marigot,MF,82.4,broken clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
432,Nsanje,MW,84.13,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
433,Bull Savanna,JM,79.39,clear sky,17.8868,-77.5902,Big Red's
437,Aventura,US,82.0,broken clouds,25.9565,-80.1392,Residence Inn by Marriott Miami Aventura Mall
443,Ugoofaaru,MV,81.88,scattered clouds,5.6667,73.0,Ungoofaaru Inn
450,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
451,Lufilufi,WS,78.8,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
458,Martapura,ID,77.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
464,Mahajanga,MG,80.6,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
466,Kununurra,AU,78.8,light rain,-15.7667,128.7333,Hotel Kununurra
470,Tagusao,PH,79.05,overcast clouds,9.1924,117.8141,Toledo
485,Padang,ID,80.6,few clouds,-0.9492,100.3543,Mercure Padang
487,Bartica,GY,82.4,broken clouds,6.4,-58.6167,Relax Inn Hotel
488,Kalabo,ZM,79.57,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
491,Moranbah,AU,78.51,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
499,Macapa,BR,86.0,broken clouds,0.0389,-51.0664,Atalanta Hotel
500,Hualmay,PE,76.14,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
504,Sao Jose Da Coroa Grande,BR,85.24,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
507,Tucupita,VE,79.66,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
511,Alugan,PH,79.75,overcast clouds,12.2188,125.4808,JM Lodge
513,Port Blair,IN,79.39,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
515,Sorong,ID,79.59,overcast clouds,-0.8833,131.25,The Waigo Hotel
517,Cap Malheureux,MU,81.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
525,Marsh Harbour,BS,78.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
531,Libreville,GA,84.2,few clouds,0.3925,9.4537,Hotel Re-Ndama
537,Trat,TH,75.74,broken clouds,12.5,102.5,สวนหนิง-อัศ
539,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
541,Gizo,SB,82.54,light rain,-8.103,156.8419,Imagination Island
543,Dingle,PH,75.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
544,Dolores,AR,82.11,few clouds,-36.3132,-57.6792,Apart Hotel - Arianos
548,Mogadishu,SO,82.4,few clouds,2.0371,45.3438,Hotel Juba
