City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kahului,US,20.8947,-156.47,78.8,50,1,13.8,clear sky
80,Filingue,NE,14.3521,3.3168,71.83,20,0,8.41,clear sky
81,Naze,JP,28.3667,129.4833,66.2,59,20,10.36,few clouds
82,Osoyoos,CA,49.0331,-119.4524,30.2,93,100,5.75,overcast clouds
83,Chipinge,ZW,-20.1883,32.6236,62.89,96,26,1.01,scattered clouds
84,Steamboat Springs,US,40.485,-106.8317,33.8,32,1,12.66,clear sky
85,Bairiki,KI,1.3292,172.9752,86.0,74,40,11.5,scattered clouds
86,Tuatapere,NZ,-46.1333,167.6833,68.67,58,100,4.25,moderate rain
87,Ossora,RU,59.2353,163.0719,29.35,94,95,15.97,overcast clouds
88,Cape Town,ZA,-33.9258,18.4232,66.0,72,0,12.66,clear sky
89,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,5.75,scattered clouds
90,Esperance,AU,-33.8667,121.9,82.4,51,0,24.16,clear sky
91,Nikolayevka,RU,53.1257,47.2041,-3.8,89,97,12.26,overcast clouds
92,Mayumba,GA,-3.432,10.6554,79.0,86,100,2.62,moderate rain
93,Atuona,PF,-9.8,-139.0333,79.74,74,8,20.58,clear sky
94,Itoman,JP,26.1247,127.6694,69.8,52,20,17.27,few clouds
95,Lebu,CL,-37.6167,-73.65,58.75,94,100,1.43,overcast clouds
96,Ketchikan,US,55.3422,-131.6461,30.2,63,1,5.75,clear sky
97,Gediz,TR,39.0417,29.41,49.87,47,100,6.82,overcast clouds
98,Port Macquarie,AU,-31.4333,152.9167,79.0,61,30,1.01,scattered clouds
99,Mtsensk,RU,53.2766,36.5733,-4.79,92,73,6.02,broken clouds
100,Norman Wells,CA,65.282,-126.8329,-31.0,75,20,5.75,few clouds
101,Dinguiraye,GN,11.3,-10.7167,70.56,24,65,3.36,broken clouds
102,Ribeira Grande,PT,38.5167,-28.7,58.96,80,24,17.2,few clouds
103,Gobabis,NA,-22.45,18.9667,64.78,85,5,8.08,clear sky
104,Kasongo-Lunda,CD,-6.4667,16.8167,73.04,82,100,0.49,overcast clouds
105,Goure,NE,13.9835,10.2704,68.0,17,56,5.01,broken clouds
106,Sao Sebastiao,BR,-23.76,-45.4097,71.6,80,48,2.91,scattered clouds
107,Aswan,EG,24.0934,32.907,56.95,56,0,8.81,clear sky
108,Evensk,RU,61.95,159.2333,12.38,92,100,46.64,light snow
109,Vardo,NO,70.3705,31.1107,25.41,90,100,27.4,light snow
110,Anchorage,US,61.2181,-149.9003,10.99,92,90,3.04,overcast clouds
111,Salalah,OM,17.0151,54.0924,69.8,73,0,5.75,clear sky
112,Malakal,SS,9.5334,31.6605,66.52,25,9,7.58,clear sky
113,Aklavik,CA,68.2191,-135.0107,-23.8,76,100,10.36,overcast clouds
114,Cherskiy,RU,68.75,161.3,6.78,75,0,4.83,clear sky
115,Ostrovnoy,RU,68.0531,39.5131,17.13,94,100,11.61,light snow
116,Kapaa,US,22.0752,-159.319,73.4,53,20,6.91,few clouds
117,Ulladulla,AU,-35.35,150.4667,69.01,68,75,9.22,broken clouds
118,Bubaque,GW,11.2833,-15.8333,79.25,62,1,7.38,clear sky
119,Ambulu,ID,-8.345,113.6058,83.79,69,98,2.01,overcast clouds
120,Hwange,ZW,-18.3693,26.5019,68.02,90,33,2.73,light rain
121,Longyearbyen,SJ,78.2186,15.6401,15.8,38,0,19.57,clear sky
122,Souillac,MU,-20.5167,57.5167,78.8,83,40,5.75,light rain
123,Saskylakh,RU,71.9167,114.0833,-36.51,80,43,11.77,scattered clouds
124,Husavik,IS,66.0449,-17.3389,30.2,80,75,7.34,broken clouds
125,Krasnoarmeysk,RU,51.0239,45.6969,-4.99,90,19,15.68,few clouds
126,Yulara,AU,-25.2406,130.9889,87.8,20,0,18.41,clear sky
127,Nemuro,JP,43.3236,145.575,17.6,62,20,6.91,few clouds
128,Coahuayana,MX,18.7333,-103.6833,69.8,83,1,0.96,clear sky
129,Albany,US,42.6001,-73.9662,24.01,54,43,4.0,scattered clouds
130,Fare,PF,-16.7,-151.0167,82.06,75,1,11.83,clear sky
131,Chiredzi,ZW,-21.05,31.6667,71.22,73,99,3.18,overcast clouds
132,Qaanaaq,GL,77.484,-69.3632,17.1,85,100,6.71,overcast clouds
133,San Andres,CO,12.5847,-81.7006,80.6,78,40,9.22,scattered clouds
134,Brigantine,US,39.4101,-74.3646,34.0,86,1,9.22,clear sky
135,Balkanabat,TM,39.5108,54.3671,45.84,70,0,5.86,clear sky
136,Arraial Do Cabo,BR,-22.9661,-42.0278,74.84,81,100,3.58,moderate rain
137,Tammisaari,FI,59.9736,23.4339,19.0,74,5,6.33,clear sky
138,Kimbe,PG,-5.5502,150.1429,84.04,76,39,7.0,moderate rain
139,Beloha,MG,-25.1667,45.05,74.3,97,23,3.2,few clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,66.99,63,40,4.61,scattered clouds
141,Broome,US,42.2506,-75.833,14.0,62,75,11.5,broken clouds
142,Polovinnoye,RU,54.7914,65.9864,-4.95,91,1,8.88,clear sky
143,Olinda,BR,-8.0089,-34.8553,78.8,69,40,8.05,scattered clouds
144,Tasiilaq,GL,65.6145,-37.6368,26.6,46,20,5.75,few clouds
145,Anito,PH,12.4497,125.2886,76.8,92,100,14.03,moderate rain
146,Oussouye,SN,12.485,-16.5469,68.0,60,0,2.3,clear sky
147,Porto Velho,BR,-8.7619,-63.9039,78.8,94,75,5.75,very heavy rain
148,Wuwei,CN,37.9281,102.6414,34.43,59,0,0.67,clear sky
149,Bethel,US,41.3712,-73.414,28.4,74,90,16.11,light snow
